Tytuł,Model telefonu,Wbudowana pamięć (GB),Stan,Cena (zł),Typ,Kolor,Data ekstraktu,Data opublikowania,URL
"iPhone 14 pro 128 gb Czarny, zaplombowany , nieaktywowany",iPhone 14 Pro,128.0,Nowe,4649,Firmowe,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-czarny-zaplombowany-nieaktywowany-CID99-IDWJtkD.html
iPhone 14 Pro 256Gb Space Gray,iPhone 14 Pro,256.0,Używane,4450,Prywatne,Czarny,2023-08-09 10:29,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-space-gray-CID99-IDWMCRS.html
Nowy iPhone 14 Pro 258 GB Czarny,iPhone 14 Pro,256.0,Nowe,5099,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-258-gb-czarny-CID99-IDWGFwJ.html
NOWY iPhone 13 Pro 128GB Gold - Gwarancja,iPhone 13 Pro,128.0,Nowe,3999,Prywatne,Złoty,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-iphone-13-pro-128gb-gold-gwarancja-CID99-IDWNHXt.html
NOWY iPhone 14 PRO 256GB 5G GOLD + GRATISY Warszawa,iPhone 14 Pro,256.0,Nowe,5299,Prywatne,Złoty,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-256gb-5g-gold-gratisy-warszawa-CID99-IDW89Jm.html
iPhone 14 pro 128 gb silver 24 Msc. GW. Bez rat.,iPhone 14 Pro,128.0,Nowe,4749,Firmowe,Srebrny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-silver-24-msc-gw-bez-rat-CID99-IDWJtvS.html
Apple iPhone 13 Pro 128 GB Sierra Blue nowy,iPhone 13 Pro,128.0,Nowe,4500,Prywatne,Niebieski,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128-gb-sierra-blue-nowy-CID99-IDWm4T5.html
iPhone 14 Pro 256gb,iPhone 14 Pro,256.0,Używane,4600,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-CID99-IDWNFM6.html
Iphone 14 pro 128 czarny NOWY NA FIRME,iPhone 14 Pro,128.0,Nowe,4400,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128-czarny-nowy-na-firme-CID99-IDWNF6g.html
iPhone 13 Pro Silver + gwarancja,iPhone 13 Pro,128.0,Używane,3999,Firmowe,Srebrny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-silver-gwarancja-CID99-IDWNETW.html
Nowy fabrycznie zapakowany iPhone 14 PRO Space Black 256GB,iPhone 14 Pro,256.0,Nowe,5450,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-fabrycznie-zapakowany-iphone-14-pro-space-black-256gb-CID99-IDUhpUH.html
