,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Opis,Data opublikowania ogłoszenia
37,iPhone 13 pro 128 gb,iPhone 13 Pro,128GB,Używane,3 200 zł,Prywatne,Niebieski,,07 sierpnia 2023
38,Apple iPhone 13 Pro 128GB Graphite - jak NOWY,iPhone 13 Pro,128GB,Używane,3 750 zł,Prywatne,Szary,,07 sierpnia 2023
39,IPhone 14 Pro Deep Purple 128 GB,iPhone 14 Pro,128GB,Nowe,4 800 zł,Prywatne,Fioletowy,,05 sierpnia 2023
40,Iphone 14 pro 128GB   NOWY!!! Galeria Połaniecka Sklep MOBITEL,iPhone 14 Pro,128GB,Nowe,4 749 zł,Firmowe,,,07 sierpnia 2023
41,"iPhone 13 Pro 128GB złoty, stan bdb, komplet, gwarancja",iPhone 13 Pro,128GB,Używane,4 249 zł,Firmowe,,,21 lipca 2023
42,Iphone 14 pro 128gb -SREBRNY  nowy nie rozpakowany. Zdowodem zakupu.,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Srebrny,,07 sierpnia 2023
43,iPhone 14 Pro 256 gb,iPhone 14 Pro,256GB,Nowe,5 500 zł,Prywatne,,,07 sierpnia 2023
44,iPhone 14 Pro 512 GB Space Black VAT 23%,iPhone 14 Pro,512GB,Nowe,5 999 zł,Prywatne,Czarny,,07 sierpnia 2023
45,Iphone 14pro nowy,iPhone 14 Pro,128GB,Nowe,5 100 zł,Prywatne,,,07 sierpnia 2023
46,"iPhone 14 Pro 256GB Fiolet | GW24m | Możliwa Zamiana na 14, 13 Pro",iPhone 14 Pro,256GB,Nowe,4 800 zł,Prywatne,Fioletowy,,07 sierpnia 2023
47,iPhone 14 Pro 256Gb Space Gray,iPhone 14 Pro,256GB,Używane,4 500 zł,Prywatne,Czarny,,07 sierpnia 2023
48,IPhone 13 Pro 128 gb ideally stan,iPhone 13 Pro,128GB,Używane,3 400 zł,Prywatne,Szary,,07 sierpnia 2023
49,IPHONE 14 pro złoty 128 Gb,iPhone 14 Pro,128GB,Nowe,4 600 zł,Prywatne,,,07 sierpnia 2023
50,"Iphone 13 Pro 128GB Gold - Zadbany ,stan bardzo dobry",iPhone 13 Pro,128GB,Używane,4 100 zł,Prywatne,Złoty,,07 sierpnia 2023
51,Apple iPhone 14 Pro 256GB Space Black,iPhone 14 Pro,256GB,Nowe,5 049 zł,Firmowe,Czarny,,07 sierpnia 2023
